No,Range Pasal,Bab
1,1865-1866,PEMBUKTIAN PADA UMUMNYA
2,1867-1894,PEMBUKTIAN DENGAN TULISAN
3,1895-1993,PEMBUKTIAN DENGAN SAKSI-SAKSI
