No,Range Pasal,Bab
1,499-528,BARANG DAN PEMBAGIANNYA
2,529-568,BESIT DAN HAK-HAK YANG TIMBUL KARENANYA
3,570-624,HAK MILIK
4,625-672,HAK DAN KEWAJIBAN ANTARA PARA PEMILIK PEKARANGAN YANG BERTETANGGA
5,673,KERJA RODI
6,674-710,PENGABDIAN PEKARANGAN
7,711-719,HAK NUMPANG KARANG
8,720-736,HAK GUNA
9,737-755,BUNGA TANAH DAN SEPERSEPULUH
10,756-817,HAK PAKAI HASIL
11,818-829,HAK PAKAI DAN HAK MENDIAMI
12,830-873,"PEWARISAN KARENA KEMATIAN (Tidak Berlaku Bagi Golongan Timur Asing Bukan Tionghoa, Tetapi Berlaku Bagi Golongan Tionghoa)"
13,874-1004,SURAT WASIAT
14,1005-1022,PELAKSANA SURAT WASIAT DAN PENGELOLA HARTA PENINGGALAN
15,1023-1043,HAK BERPIKIR DAN HAK ISTIMEWA UNTUK MERINCI HARTA PENINGGALAN
16,1044-1065,HAL MENERIMA DAN MENOLAK WARISAN
17,1066-1125,PEMISAHAN HARTA PENINGGALAN
18,1126-1130,HARTA PENINGGALAN YANG TAK TERURUS
19,1131-1149,PIUTANG DENGAN HAK MENDAHULUKAN
20,1150-1160,GADAI
21,1162-1232,HIPOTEK
