No,Range Pasal,Bagian
1,1946-1962,Lewat Waktu pada Umumnya
2,1963-1966,Lewat Waktu Sebagai Suatu Sarana Hukum untuk Memperoleh Sesuatu
3,1967-1977,Lewat Waktu Sebagai Suatu Alasan untuk Dibebaskan dari Suatu Kewajiban
4,1978-1985,Sebab-sebab yang Mencegah Lewat Waktu
5,1986-1993,Sebab-sebab yang Menangguhkan Lewat Waktu
