No,Range Pasal,Bagian
1,1233-1234,Ketentuan-ketentuan Umum
2,1235-1238,Perikatan untuk Memberikan Sesuatu
3,1239-1242,Perikatan Untuk Berbuat Sesuatu atau Untuk Tidak Berbuat Sesuatu
4,1243-1252,"Penggantian Biaya, Kerugian dan Bunga Karena Tidak Dipenuhinya Suatu Perikatan"
5,1253-1267,Perikatan Bersyarat
6,1268-1271,Perikatan-perikatan dengan Waktu yang Ditetapkan
7,1272-1277,Perikatan dengan Pilihan atau Perikatan yang Boleh Dipilih oleh Salah Satu Pihak
8,1278-1295,PerikatanTanggung Renteng atau Perikatan Tanggung-Menanggung
9,1296-1303,Perikatan-perikatan yang Dapat Dibagi-bagi dan Perikatan-perikatan yang Tidak Dapat Dibagi-bagi
10,1304-1312,Perikatan dengan Perjanjian Hukuman
11,1313-1319,Ketentuan-ketentuan Umum
12,1320-1337,Syarat-syarat Terjadinya Suatu Persetujuan yang Sah
13,1338-1341,Akibat Persetujuan
14,1342-1351,Penafsiran Persetujuan
15,1382-1403,Pembayaran
16,1404-1412,"Penawaran Pembayaran Tunai, yang Diikuti Oleh Penyimpanan atau Penitipan"
17,1413-1424,Pembaruan Utang
18,1425-1435,Kompensasi atau Perjumpaan Utang
19,1436-1437,Percampuran Utang
20,1438-1443,Pembebasan Utang
21,1444-1445,Musnahnya Barang yang Terutang
22,1446-1456,Kebatalan dan Pembatalan Perikatan
23,1457-1472,Ketentuan-ketentuan Umum
24,1473-1512,Kewajiban-kewajiban Penjual
25,1513-1518,Kewajiban Pembeli
26,1519-1532,Hak Membeli Kembali
27,1533-1540,Ketentuan-ketentuan Khusus Mengenai Jual Beli Piutang dan Hak-hak Tak Berwujud Yang Lain
28,1548,Ketentuan Umum
29,1550-1580,Aturan-aturan yang Sama-sama Berlaku Terhadap Penyewaan Rumah dan Penyewaan Tanah
30,1581-1587,Aturan-aturan yang Khusus Berlaku Bagi Sewa Rumah dan Perabot Rumah
31,1588-1600,Aturan-aturan yang Khusus Berlaku Bagi Sewa Tanah
32,1601-1601c,Ketentuan Umum
33,1601d-1601x,Perjanjian Kerja pada Umumnya
34,1602-1602y,Kewajiban-kewajiban Majikan
35,1603-1603d,Kewajiban Buruh
36,1603e-1603z,Berbagai Cara Berakhirnya Hubungan Kerja yang Terjadi Karena Perjanjian Kerja
37,1604-1617,Perjanjian Pemborongan Pekerjaan
38,1618-1623,Ketentuan-ketentuan Umum
39,1624-1641,Persetujuan-persetujuan Antara Para Peserta Satu Sama Lain
40,1642-1645,Ikatan Para Peserta Terhadap Orang Lain
41,1646-1652,Pelbagai Cara Bubarnya Perseroan Perdata
42,1666-1675,Ketentuan-ketentuan Umum
43,1676-1681,Kemampuan Untuk Memberikan dan Menerima Hibah
44,1682-1687,Cara Menghibahkan Sesuatu
45,1688-1693,Pencabutan dan Pembatalan Hibah
46,1694-1695,Penitipan Barang pada Umumnya dan Berbagai Jenisnya
47,1696-1729,Penitipan Murni
48,1730-1739,Sekestrasi dan Pelbagai Jenisnya
49,1740-1743,Ketentuan-ketentuan Umum
50,1744-1749,Kewajiban-kewajiban Orang yang Menerima Barang Pinjam Pakai
51,1750-1753,Kewajiban-kewajiban Pemberi Pinjaman
52,1754-1758,Ketentuan-ketentuan Umum
53,1759-1762,Kewajiban-kewajiban Orang yang Meminjamkan
54,1763-1764,Kewajiban-kewajiban Penitipan
55,1765-1769,Peminjaman dengan Bunga
56,1774,Ketentuan Umum
57,1775-1787,Persetujuan Bunga Cagak Hidup dan Akibat-akibatnya
58,1788-1791,Perjudian dan Pertaruhan
59,1792-1799,Sifat Pemberian Kuasa
60,1800-1806,Kewajiban Penerima Kuasa
61,1807-1812,Kewajiban-kewajiban Pemberi Kuasa
62,1813-1819,Bermacam-macam Cara Berakhirnya Pemberian Kuasa
63,1820-1830,Sifat Penanggungan
64,1831-1838,Akibat-akibat Penanggungan Antara Kreditur Dan Penanggung
65,1839-1844,Akibat-akibat Penanggungan Antara Debitur dan Penanggung dan antara Para Penanggung Sendiri
66,1845-1864,Hapusnya Penanggungan Utang
